name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Stockholm,2022-02-01,26.4,22.7,23.9,26.4,14,19.6,18.4,79.4,0.004,100,8.33,snow,0,0,17.9,8.8,323.3,999.1,57.8,18.1,30,2.8,1,10,2022-02-01T07:58:18,2022-02-01T16:05:11,0,"Snow, Partially cloudy",Clearing in the afternoon with morning snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-02,25.6,21.3,23,23.3,13.8,18.2,18,81.3,0.001,100,4.17,snow,0,0.9,13.9,9.1,313.3,1003.4,75,15.4,26.8,2.4,1,10,2022-02-02T07:56:01,2022-02-02T16:07:44,0.04,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-03,32.2,23.9,26.4,26.3,18.2,23.2,22.1,83.5,0.002,100,8.33,snow,0,0.9,14.4,10.6,120.3,1010.3,95.8,15.6,18.6,1.5,1,10,2022-02-03T07:53:42,2022-02-03T16:10:17,0.07,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
Stockholm,2022-02-04,38.9,33,36.4,33.6,24.5,29.3,35.1,94.7,0.332,100,66.67,"rain,snow",0.1,0.8,25.5,13.1,160.8,997.4,92.6,7.1,7.6,0.5,0,10,2022-02-04T07:51:22,2022-02-04T16:12:51,0.1,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-05,37.7,31.8,34.6,31.9,23.9,28.5,30,83.6,0,0,0,,0,0.7,21,13,237.7,991.8,35,14.5,36.5,3.1,2,10,2022-02-05T07:49:00,2022-02-05T16:15:24,0.14,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-06,38.9,32.1,36.1,32.7,26.2,29.5,29.9,78.5,0.045,100,12.5,"rain,snow",0,0.7,30,13.3,213.2,982.7,70.2,15.2,32.8,2.9,2,10,2022-02-06T07:46:35,2022-02-06T16:17:58,0.17,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
Stockholm,2022-02-07,35,28.9,32.1,33.4,23,26,25.2,76.2,0,0,0,,0,0.9,22.6,12.5,279.4,993.8,17.9,18.4,37.9,3.2,2,10,2022-02-07T07:44:09,2022-02-07T16:20:32,0.2,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-08,40.4,29,35.1,34.4,22.7,29.3,30.1,82.2,0.062,100,29.17,"rain,snow",,0.2,21,13.5,234.9,1001.3,44.7,14.8,29.2,2.3,2,10,2022-02-08T07:41:42,2022-02-08T16:23:05,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
Stockholm,2022-02-09,43.5,33,37.8,36.6,26.7,30.7,30.4,74.8,0,0,0,,,0,27.6,18.2,238.5,1002,27.6,14.9,34.9,3.1,2,10,2022-02-09T07:39:13,2022-02-09T16:25:39,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-10,40.8,33.3,37.1,33.5,26.3,29.3,26.8,66.2,0.039,100,20.83,rain,0,0,29.7,16.4,253,1001.8,0,15.7,45.8,3.9,2,10,2022-02-10T07:36:42,2022-02-10T16:28:13,0.3,Rain,Clear conditions throughout the day with rain in the morning and afternoon.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-11,33.2,28.1,30.7,31.5,19.4,24,19.7,64.7,0,0,0,snow,0,0,18.2,12.1,273.9,1011.3,0,17.4,46.1,3.9,2,10,2022-02-11T07:34:10,2022-02-11T16:30:46,0.33,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-12,40.4,28.6,34.8,32,19.3,26.7,25.1,67.8,0.003,100,4.17,"rain,snow",0,0,31.7,16.2,232.8,1014.8,43.4,15.4,36.5,3.2,2,10,2022-02-12T07:31:36,2022-02-12T16:33:20,0.36,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain or snow.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-13,39.4,34.4,37.3,33,25.2,29.5,29.7,74.1,0,0,0,snow,0,0,26.8,15.2,207.7,1003.5,96.1,16.6,21.4,1.8,1,10,2022-02-13T07:29:01,2022-02-13T16:35:53,0.39,Overcast,Cloudy skies throughout the day.,cloudy,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-14,39.4,34.4,37,35.6,28.7,32.5,35,92.6,0.167,100,70.83,"rain,snow",0.2,0.1,17,8.5,184.7,998,93,7.2,10,0.8,1,10,2022-02-14T07:26:25,2022-02-14T16:38:26,0.43,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-15,42.2,37,39.5,36.4,30.2,33.9,34.4,82.3,0.002,100,4.17,rain,0,0,25.8,13.5,189.3,997.2,74.2,12.6,26.6,2.1,1,10,2022-02-15T07:23:47,2022-02-15T16:40:59,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-16,39.9,34.8,37.4,34.1,28.5,31.3,33.4,85.6,0.151,100,33.33,"rain,snow",0,0,22,11.4,169.4,987.4,84.6,10.9,27.8,2.4,1,10,2022-02-16T07:21:09,2022-02-16T16:43:32,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-17,34,32.6,33.2,27.6,23.3,25,29.6,87.1,0.041,100,33.33,"rain,snow",0.2,0.1,26.3,15.7,323.8,972.3,95,13.9,23.5,2,1,10,2022-02-17T07:18:29,2022-02-17T16:46:04,0.53,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-18,39.9,29.6,34.3,35.5,21.2,28.7,26.4,73.6,0,0,0,,0,0,23.2,14.3,249.9,983.6,21.9,18.2,61.9,5.3,3,10,2022-02-18T07:15:48,2022-02-18T16:48:36,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-19,34.8,28.4,31.8,34.8,22.1,26,29.6,91.7,0.182,100,41.67,"rain,snow",1.3,1.1,17.9,11.3,298.7,984,54.9,13.1,26.3,2.2,1,10,2022-02-19T07:13:06,2022-02-19T16:51:08,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-20,33.3,26.3,29.5,28.7,18.6,23.7,25.8,86.4,0,0,0,,0,1.4,15.7,8.9,226.5,992.3,59.7,16.6,58.4,5,3,10,2022-02-20T07:10:23,2022-02-20T16:53:39,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-21,37.4,30.5,33.2,31.7,18.2,23.6,32.4,97,0.367,100,83.33,"rain,snow",1.5,2.3,35.6,19.5,59.2,973.6,88.5,3.9,25.5,2.2,2,10,2022-02-21T07:07:39,2022-02-21T16:56:10,0.67,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
Stockholm,2022-02-22,30.3,22.6,25.4,24.7,11.2,17,21.1,83.6,0.004,100,8.33,snow,0.1,3.5,40.4,22,323.4,999,80.2,13,34.1,3.1,1,10,2022-02-22T07:04:54,2022-02-22T16:58:41,0.71,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-23,36.8,22.4,29.9,29.1,17.4,25.7,25.2,82.5,0.009,100,16.67,"rain,snow",0,3.2,21.1,11.3,192.1,1006.5,66.8,15.5,42.4,3.6,2,10,2022-02-23T07:02:08,2022-02-23T17:01:11,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-24,40.4,33.4,38.1,34.2,29.3,31.5,33.6,83.9,0.232,100,50,rain,0,2.5,35.7,17.7,192.8,998.5,85.3,12.1,22.5,2,1,10,2022-02-24T06:59:21,2022-02-24T17:03:41,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-25,39.4,32.5,35,33,24.1,29.7,29.8,82.2,0.165,100,29.17,snow,1.5,2.3,20.9,12.7,276.6,998.8,34.7,12.2,59.8,5.2,3,10,2022-02-25T06:56:33,2022-02-25T17:06:11,0.81,"Snow, Partially cloudy",Clearing in the afternoon with snow clearing later.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-26,36.9,28.4,32.9,35.6,21.5,27.9,18.7,55.9,0,0,0,,0,2.1,14.6,7.6,270.5,1028.9,4.1,18.9,84.3,7.3,4,10,2022-02-26T06:53:45,2022-02-26T17:08:40,0.85,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-27,43.9,33.3,38,38.6,27.4,32.2,24.6,58.3,0,0,0,,0,0.9,19.9,13.1,233.3,1034.3,38.3,17.9,74.6,6.4,3,10,2022-02-27T06:50:56,2022-02-27T17:11:09,0.88,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-02-28,40.2,30.8,35.5,35.2,25.1,30.2,24,63,0,0,0,,0,0.7,16.5,9.7,225.6,1033.1,0,19.2,82.8,7.2,4,10,2022-02-28T06:48:06,2022-02-28T17:13:37,0.92,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-01,45.3,32.8,37.8,41.2,26.6,32.2,23,55.9,0,0,0,,0,1.3,22.7,11.2,218.1,1027.9,28.9,16.8,82.8,7.1,4,10,2022-03-01T06:45:16,2022-03-01T17:16:05,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-02,41.3,31.2,36.5,36.6,25.3,31.3,28.9,74.8,0,0,0,,0,0.8,17.3,10.5,265,1022.6,36,13.5,83.8,7.2,4,10,2022-03-02T06:42:25,2022-03-02T17:18:33,0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-03,40.2,29.4,35,33.4,21.9,29,24.8,66.4,0,0,0,,0,0.8,22.2,11.3,334.6,1022.9,14.4,18.7,88.8,7.6,4,10,2022-03-03T06:39:33,2022-03-03T17:21:00,0.02,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-04,40.1,25.7,32,38.7,20.6,30,20.9,65.9,0,0,0,,0,0.7,11.2,5.7,340.7,1028.1,0,18.4,91.7,7.9,4,10,2022-03-04T06:36:41,2022-03-04T17:23:27,0.06,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-05,40.2,25.6,32.7,33.9,20.1,28.4,20.3,61.3,0,0,0,,0,0.7,18.2,12.5,237.7,1024.6,0,18.9,96,8.2,4,10,2022-03-05T06:33:48,2022-03-05T17:25:53,0.09,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-06,42.2,29.6,35.5,34.8,22.8,29.6,23.4,63,0,0,0,,0,0,20.9,14.5,282.3,1020.1,16.3,18.8,97.3,8.3,4,10,2022-03-06T06:30:55,2022-03-06T17:28:19,0.12,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-07,43.9,32.2,38.7,41.4,27.5,34.9,27.1,63.4,0,0,0,,0,0,14.2,9.3,298.4,1021.5,25.2,21.4,104.6,8.9,4,10,2022-03-07T06:28:01,2022-03-07T17:30:45,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-08,45.9,31.5,38.2,43.5,29.7,36.4,27.2,65.4,0,0,0,,0,0,11.2,7.4,272.2,1022.3,9.5,18.2,100,8.6,4,10,2022-03-08T06:25:07,2022-03-08T17:33:11,0.18,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-09,45.8,30.2,35.9,45.8,26.9,32.7,29,76.4,0,0,0,,0,0,15.7,12.5,126.8,1028.8,33.8,16.9,85.6,7.5,4,10,2022-03-09T06:22:12,2022-03-09T17:35:36,0.22,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
Stockholm,2022-03-10,38.3,33.2,35.6,30.9,26.8,29.3,28.9,76.5,0,0,0,,0,0,25.3,12.5,181.9,1034.7,71.1,17.9,55.8,4.9,2,10,2022-03-10T06:19:17,2022-03-10T17:38:01,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-11,44,28.9,35.7,39.1,22.4,31.2,23.9,63.6,0,0,0,,0,0,15.7,9.5,225,1031.9,0,16.4,116,10.1,4,10,2022-03-11T06:16:22,2022-03-11T17:40:25,0.28,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-12,48.9,31.2,38.8,48.9,26.7,37.8,16,43.9,0,0,0,,0,0,8.9,6.6,228.7,1029,1.4,15,121.9,10.7,4,10,2022-03-12T06:13:26,2022-03-12T17:42:49,0.31,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
Stockholm,2022-03-13,52.2,30.4,40,52.2,30.4,39.7,14.4,45.5,0,0,0,,0,0,11.2,6.3,183,1029.1,0.1,13,127.9,11,4,10,2022-03-13T06:10:30,2022-03-13T17:45:13,0.34,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-14,52,31.5,40.1,52,31.5,39.2,21.8,50.3,0,0,0,,0,0,14.5,9.2,172.1,1030.9,0,10,125.1,10.7,4,10,2022-03-14T06:07:34,2022-03-14T17:47:37,0.38,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
Stockholm,2022-03-15,49.1,29.4,37.4,45.3,29.4,34.5,28.8,73.8,0,0,0,,0,0,17.9,11.1,133.5,1028,0,6.7,131.4,11.3,4,10,2022-03-15T06:04:38,2022-03-15T17:50:01,0.41,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-16,49.5,31,39.2,48.3,29.2,38.7,29.9,71.1,0,0,0,,0,0,10.6,5.1,208.4,1030.6,0.5,6.1,122.4,10.5,4,10,2022-03-16T06:01:41,2022-03-16T17:52:24,0.44,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-17,46.6,28.3,36.4,40.6,23.6,31.3,28.6,74.7,0,0,0,,0,0,21.6,13.9,144.1,1034.2,24.7,9.2,109.5,9.4,4,10,2022-03-17T05:58:44,2022-03-17T17:54:47,0.47,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-18,46.6,38.4,42.4,40.9,34.4,37.1,33.7,71.2,0.002,100,8.33,rain,0,0,22.3,13.3,237,1035.8,78.5,13.9,78.8,6.5,3,10,2022-03-18T05:55:47,2022-03-18T17:57:10,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
Stockholm,2022-03-19,52.6,31.2,43,52.6,31.2,42.4,26,54.6,0,0,0,,0,0,16,11.1,241.9,1047.3,0,17.4,145,12.6,5,10,2022-03-19T05:52:49,2022-03-19T17:59:33,0.54,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-20,58.3,34.5,45.2,58.3,34.5,44.8,25.3,47.3,0,0,0,,0,0,11,7.3,206.4,1044.9,0,18.2,147.9,13,5,10,2022-03-20T05:49:52,2022-03-20T18:01:56,0.58,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-21,52.2,35.5,42.7,52.2,31.9,40.9,23.8,50.8,0,0,0,,0,0,16.8,10.9,194.5,1040.4,0,11.5,141,12.3,5,10,2022-03-21T05:46:55,2022-03-21T18:04:18,0.61,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-22,53.1,32.5,42.9,53.1,32.5,41.5,24.5,50.2,0,0,0,,0,0,15.9,9.1,213.6,1033.5,1.7,9.3,134.5,11.6,5,10,2022-03-22T05:43:57,2022-03-22T18:06:40,0.65,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-23,51.1,34.6,42.8,51.1,27.3,38.6,28.1,57.9,0,0,0,,0,0,23.4,16.4,277.9,1028,2.6,14.6,139.4,12,5,10,2022-03-23T05:40:59,2022-03-23T18:09:03,0.68,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-24,56,35.8,45.6,56,33.7,44.1,31.1,57.8,0,0,0,,0,0,16.1,10.7,259.5,1023.1,0.4,15.9,142,12.1,5,10,2022-03-24T05:38:02,2022-03-24T18:11:25,0.72,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-25,55.6,39.2,46.8,55.6,34.4,44.7,35,64.8,0,0,0,,0,0,24.6,15.6,260.8,1015.6,13.8,14.4,99,8.5,4,10,2022-03-25T05:35:04,2022-03-25T18:13:47,0.75,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-26,47.8,32.4,41.1,41.5,28.7,34.1,18.5,40.9,0,0,0,,0,0,43,25,316.1,1021,15.3,17.5,115.2,10,4,10,2022-03-26T05:32:06,2022-03-26T18:16:09,0.79,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-27,46.5,30.7,39.7,41.4,29.7,36.1,23.1,51.9,0,0,0,,0,0,21.9,15.4,231.4,1022.3,65.3,18.8,88.2,7.3,4,10,2022-03-27T06:29:09,2022-03-27T19:18:31,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-28,53.3,34,46.5,53.3,27,40.8,25.1,45.1,0,0,0,snow,0,0,41.3,27.4,288.1,1002.6,28,17.6,111,9.6,4,10,2022-03-28T06:26:11,2022-03-28T19:20:53,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-29,32.4,24.8,29.1,26.4,19.7,22.6,18,64.2,0.018,100,25,"rain,snow",0,0,21.4,11.2,336,1007.7,64,18,95.4,8.5,3,10,2022-03-29T06:23:14,2022-03-29T19:23:15,0.9,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-30,36.9,22.5,29.4,31.6,15.6,24.4,12.1,49.6,0,0,0,,0,0,21.4,13.4,288,1007.6,14.2,18.5,159.1,13.9,6,10,2022-03-30T06:20:16,2022-03-30T19:25:37,0.93,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-03-31,39.9,17.8,31,39.9,17.8,29.5,17.5,60.2,0.004,100,4.17,snow,0,0,14.5,6.6,102.5,1011.2,26.7,18,129.6,11.2,6,10,2022-03-31T06:17:19,2022-03-31T19:27:59,0.97,"Snow, Partially cloudy",Becoming cloudy in the afternoon with afternoon snow.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-04-01,37.2,24.5,30.2,33.6,23.9,27.9,23.1,75.7,0.065,100,41.67,"rain,snow",0,0,13.4,8.4,39.5,1017.7,61.5,15.8,95.8,8.2,4,10,2022-04-01T06:14:22,2022-04-01T19:30:21,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-04-02,39.1,22.5,32.2,34.7,22.5,29.7,16.7,55.9,0,0,0,,0,0,16.9,10,272,1016.6,7.5,16.9,175.6,15.2,6,10,2022-04-02T06:11:25,2022-04-02T19:32:43,0.04,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-04-03,44.6,29.7,37.2,38.3,25.7,32.8,18.6,48.2,0,0,0,,0,0,23.1,13.3,255.7,1007.1,18.5,18.9,152.5,13.1,6,10,2022-04-03T06:08:28,2022-04-03T19:35:05,0.07,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-04-04,39.3,32,36.1,34.1,21.5,30.9,30.7,82.3,0.326,100,70.83,"rain,snow",0.6,0.1,23,15.3,189.8,987,88.5,10.3,49.3,4.2,2,10,2022-04-04T06:05:32,2022-04-04T19:37:27,0.1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-04-05,35.7,27.2,30.5,26.4,14.2,20.1,23.3,76.4,0.048,100,45.83,"rain,snow",0.4,0.6,35.2,19.2,303.9,984.5,62.3,13.7,116.7,10.3,6,10,2022-04-05T06:02:36,2022-04-05T19:39:49,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-04-06,42.8,27.7,34.8,38.2,19.6,27.9,18.3,52.7,0,0,0,,0,0.4,20.5,14.5,246.7,989.9,28.7,18.4,161.3,13.9,5,10,2022-04-06T05:59:40,2022-04-06T19:42:11,0.17,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB"
Stockholm,2022-04-07,40.3,32.3,34.7,33,24.4,28.5,32.1,90.1,0.269,100,66.67,"rain,snow",0.3,0.1,32.6,15.6,71.1,981.5,95.9,11.2,39,3.3,2,10,2022-04-07T05:56:44,2022-04-07T19:44:34,0.2,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,E4931,ESSB,F4490"
